2019-09-07 10:18:06,981 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-09-07 10:18:07,036 [     55]   INFO -        #com.intellij.idea.Main - IDE: PyCharm (build #PC-192.6262.63, 22 Aug 2019 01:58) 
2019-09-07 10:18:07,039 [     58]   INFO -        #com.intellij.idea.Main - OS: Windows 10 (10.0, amd64) 
2019-09-07 10:18:07,040 [     59]   INFO -        #com.intellij.idea.Main - JRE: 11.0.3+12-b304.39 (JetBrains s.r.o) 
2019-09-07 10:18:07,040 [     59]   INFO -        #com.intellij.idea.Main - JVM: 11.0.3+12-b304.39 (OpenJDK 64-Bit Server VM) 
2019-09-07 10:18:07,041 [     60]   INFO -        #com.intellij.idea.Main - JVM Args: exit -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -XX:CICompilerCount=2 -Dsun.io.useCanonPrefixCache=false -Djava.net.preferIPv4Stack=true -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Djdk.attach.allowAttachSelf -Dkotlinx.coroutines.debug=off -Djb.vmOptionsFile=C:\Program Files\JetBrains\PyCharm Community Edition 2019.2.1\bin\pycharm64.exe.vmoptions -Djava.library.path=C:\Program Files\JetBrains\PyCharm Community Edition 2019.2.1\jbr\\bin;C:\Program Files\JetBrains\PyCharm Community Edition 2019.2.1\jbr\\bin\server -Didea.platform.prefix=PyCharmCore -Dide.native.launcher=true -Didea.paths.selector=PyCharmCE2019.2 -XX:ErrorFile=C:\Users\Gentian\java_error_in_pycharm_%p.log -XX:HeapDumpPath=C:\Users\Gentian\java_error_in_pycharm.hprof 
2019-09-07 10:18:07,042 [     61]   INFO -        #com.intellij.idea.Main - charsets: JNU=Cp1252 file=Cp1252 
2019-09-07 10:18:07,054 [     73]   INFO - plication.impl.ApplicationImpl - CPU cores: 6; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@6ac40639[Running, parallelism = 5, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@77f38d5a 
2019-09-07 10:18:07,142 [    161]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 139 ms 
2019-09-07 10:18:07,148 [    167]   INFO - penapi.util.io.win32.IdeaWin32 - Native filesystem for Windows is operational 
2019-09-07 10:18:16,083 [   9102]   INFO - tellij.diagnostic.LoadingPhase - Reached SPLASH loading phase 
2019-09-07 10:18:16,750 [   9769]   INFO - llij.ide.plugins.PluginManager - Plugin 'Configuration Script' can't be loaded because: Plugin does not include any module dependency tags in its plugin.xml therefore is assumed legacy and can be loaded only in IntelliJ IDEA 
2019-09-07 10:18:16,765 [   9784]   WARN - llij.ide.plugins.PluginManager - Ini4Idea not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:16,766 [   9785]   INFO - llij.ide.plugins.PluginManager - Plugin 'Ini4Idea' can't be loaded because: Plugin since-build(191.5849) or until-build(191.*) don't match this product's build number(PC-192.6262.63). 
2019-09-07 10:18:16,835 [   9854]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Copyright (192.6262.63), EditorConfig (192.6262.63), Git (192.6262.63), GitHub (192.6262.63), IDEA CORE (192.6262.63), IntelliLang (192.6262.63), Machine Learning Code Completion (192.6262.63), Mercurial (192.6262.63), Properties (192.6262.63), Python Copyright (192.6262.63), Python IntelliLang (192.6262.63), Python ReStructureText Integration (192.6262.63), Python Terminal (192.6262.63), ReStructuredText Support (192.6262.63), Settings Repository (192.6262.63), Shell Script (192.6262.63), Subversion (192.6262.63), Task Management (192.6262.63), Terminal (192.6262.63), TextMate bundles (192.6262.63), YAML (192.6262.63) 
2019-09-07 10:18:16,836 [   9855]   INFO - llij.ide.plugins.PluginManager - Loaded custom plugins: Context Free Grammar (0.3.1), R Language Support (1.1) 
2019-09-07 10:18:16,836 [   9855]   INFO - llij.ide.plugins.PluginManager - Disabled plugins: Configuration Script (192.6262.63), Ini4Idea (191.5849.22) 
2019-09-07 10:18:17,204 [  10223]   INFO - tellij.diagnostic.LoadingPhase - Reached CONFIGURATION_STORE_INITIALIZED loading phase 
2019-09-07 10:18:17,358 [  10377]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: 'C:\Users\Gentian\.PyCharmCE2019.2\system\caches\names.dat' does not exist 
2019-09-07 10:18:17,373 [  10392]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=705 
2019-09-07 10:18:17,513 [  10532]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: C:\Program Files\JetBrains\PyCharm Community Edition 2019.2.1\bin\fsnotifier64.exe 
2019-09-07 10:18:17,620 [  10639]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2019-09-07 10:18:18,634 [  11653]   WARN - llij.ide.plugins.PluginManager - cfn-lint not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,635 [  11654]   WARN - llij.ide.plugins.PluginManager - Python Annotations not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,636 [  11655]   WARN - llij.ide.plugins.PluginManager - TFS not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,638 [  11657]   WARN - llij.ide.plugins.PluginManager - GitToolBox not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,640 [  11659]   WARN - llij.ide.plugins.PluginManager - CVS not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,641 [  11660]   WARN - llij.ide.plugins.PluginManager - Gitee not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,642 [  11661]   WARN - llij.ide.plugins.PluginManager - Subversion not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,643 [  11662]   WARN - llij.ide.plugins.PluginManager - Git Branch Manager not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,644 [  11663]   WARN - llij.ide.plugins.PluginManager - Git User not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,645 [  11664]   WARN - llij.ide.plugins.PluginManager - Gitmoji not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,646 [  11665]   WARN - llij.ide.plugins.PluginManager - .ignore not loaded: until build 192.0 < PC-192.6262.63 
2019-09-07 10:18:18,647 [  11666]   WARN - llij.ide.plugins.PluginManager - Autohome Code Check not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,649 [  11668]   WARN - llij.ide.plugins.PluginManager - Atom Material Icons not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,649 [  11668]   WARN - llij.ide.plugins.PluginManager - The Doki-Doki Theme not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,650 [  11669]   WARN - llij.ide.plugins.PluginManager - Image Icon Viewer not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,651 [  11670]   WARN - llij.ide.plugins.PluginManager - Automatic Power Saver not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,652 [  11671]   WARN - llij.ide.plugins.PluginManager - Material Theme UI Lite not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,653 [  11672]   WARN - llij.ide.plugins.PluginManager - Clean Sheet Theme not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,654 [  11673]   WARN - llij.ide.plugins.PluginManager - Bot conversation preview not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,656 [  11675]   WARN - llij.ide.plugins.PluginManager - cute UI Theme not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,659 [  11678]   WARN - llij.ide.plugins.PluginManager - EduTools not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,661 [  11680]   WARN - llij.ide.plugins.PluginManager - MyBatis Lite not loaded: until build 192.0 < PC-192.6262.63 
2019-09-07 10:18:18,662 [  11681]   WARN - llij.ide.plugins.PluginManager - Task Management not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
2019-09-07 10:18:18,664 [  11683]   WARN - llij.ide.plugins.PluginManager - MAGist not loaded: until build 191.SNAPSHOT < PC-192.6262.63 
